status,filename,title,pubDate,thumbnail,siteName,author,url
OK,ex_20260516_music_rev_shippai.md,失敗,2026-05-16,×,,,https://listening-log.hatenablog.com/entry/2020/02/19/182321
OK,ex_20260516_essay_rev_shippai.md,失敗,2026-05-16,×,,,https://news.mynavi.jp/article/20140411-denou3/
OK,ex_20260516_music_rev_shippai.md,失敗,2026-05-16,×,,,https://note.com/yorosz/n/ndbf0e04578cc
OK,ex_20260516_music_rev_shippai.md,失敗,2026-05-16,×,,,https://note.com/yorosz/n/ndbe34429d18d?magazine_key=m97a0a50aac5f
OK,ex_20260516_essay_rev_shippai.md,失敗,2026-05-16,×,,,https://p2ptk.org/monopoly/4880/
OK,ex_20260516_essay_rev_shippai.md,失敗,2026-05-16,×,,,https://news.mynavi.jp/article/20140411-denou3/
OK,ex_20260516_essay_rev_shippai.md,失敗,2026-05-16,×,,,https://m-nerds.com/3dbluray_fureru
OK,ex_20260516_movie_rev_shippai.md,失敗,2026-05-16,×,,,http://www.kaminotane.com/2024/03/05/25508/
OK,ex_20260516_movie_rev_shippai.md,失敗,2026-05-16,×,,,http://www.kaminotane.com/2024/06/26/25784/
OK,ex_20260516_music_rev_shippai.md,失敗,2026-05-16,×,,,https://note.com/yasuhide1978/n/n7bb21c6604b6
OK,ex_20260516_music_rev_shippai.md,失敗,2026-05-16,×,,,https://rollingstonejapan.com/articles/detail/40780/1/1/1
OK,ex_20260516_music_rev_shippai.md,失敗,2026-05-16,×,,,https://realsound.jp/2023/06/post-1338306.html
OK,ex_20260516_music_rev_shippai.md,失敗,2026-05-16,×,,,https://kusodekaihug2.hatenablog.com/entry/2021/04/30/013859
OK,ex_20260516_music_rev_shippai.md,失敗,2026-05-16,×,,,https://kusodekaihug2.hatenablog.com/entry/2021/03/23/182821
OK,ex_20260516_music_rev_shippai.md,失敗,2026-05-16,×,,,https://kusodekaihug2.hatenablog.com/entry/2021/02/21/030938
OK,ex_20260516_essay_rev_shippai.md,失敗,2026-05-16,×,,,https://econ101.jp/he-myth-of-meritocracy-how-exams/
OK,ex_20260516_essay_rev_shippai.md,失敗,2026-05-16,×,,,https://kangaeruhito.jp/interview/761148
OK,ex_20260516_music_rev_shippai.md,失敗,2026-05-16,×,,,https://waterwalkmusic.com/archives/743
